"Name of State / UT","Active Cases - Total","Active Cases - Change Since Yesterday","Cured/Discharged/Migrated - Cumulative","Cured/Discharged/Migrated - Change Since Yesterday","Deaths - Cumulative","Deaths - Change Since Yesterday","Deaths - Reconciled","Deaths - Total","Report Date","Load Date"
"Andaman and Nicobar Islands","466","3","8051","62","129"," ","","",2022-01-17,2022-01-17
"Andhra Pradesh","26770","3900","2065000","669","14510","1","","1",2022-01-17,2022-01-17
"Arunachal Pradesh","1156","86","55195","54","282"," ","","",2022-01-17,2022-01-17
"Assam","20605","1481","619924","1223","6206","5","","5",2022-01-17,2022-01-17
"Bihar","35509","408","739482","5809","12136","9","","9",2022-01-17,2022-01-17
"Chandigarh","9203","692","67338","665","1087","1","","1",2022-01-17,2022-01-17
"Chhattisgarh","32792","653","1013270","3303","13654","7","","7",2022-01-17,2022-01-17
"Dadra and Nagar Haveli and Daman and Diu","212","14","10770","22","4"," ","","",2022-01-17,2022-01-17
"Delhi","89819","3588","1594788","21846","25363","28","","28",2022-01-17,2022-01-17
"Goa","21381","1303","185537","1922","3557","7","","7",2022-01-17,2022-01-17
"Gujarat","63610","4046","852471","6096","10159","8","","8",2022-01-17,2022-01-17
"Haryana","51276","4533","785518","4361","10104","6","","6",2022-01-17,2022-01-17
"Himachal Pradesh","11000","447","228474","627","3891","2","","2",2022-01-17,2022-01-17
"Jammu and Kashmir","15883","3023","338923","470","4567","6","","6",2022-01-17,2022-01-17
"Jharkhand","31747","1342","368359","4114","5203","4","","4",2022-01-17,2022-01-17
"Karnataka","198011","28132","2983645","5902","38431","13","","13",2022-01-17,2022-01-17
"Kerala***","104569","13216","5223430","4749","50832","8","150","158",2022-01-17,2022-01-17
"Ladakh","820","79","22342","96","222"," ","","",2022-01-17,2022-01-17
"Lakshadweep","74","14","10369"," ","51"," ","","",2022-01-17,2022-01-17
"Madhya Pradesh","30109","4593","790269","1785","10545","2","","2",2022-01-17,2022-01-17
"Maharashtra","269102","912","6800900","40386","141808","29","","29",2022-01-17,2022-01-17
"Manipur","1282","219","123961","59","2015","1","","1",2022-01-17,2022-01-17
"Meghalaya","1128","137","83740","74","1490"," ","","",2022-01-17,2022-01-17
"Mizoram","8422","499","143486","722","570"," ","","",2022-01-17,2022-01-17
"Nagaland","457","53","31756","29","703"," ","","",2022-01-17,2022-01-17
"Odisha","65364","6722","1060067","4452","8481","3","","3",2022-01-17,2022-01-17
"Puducherry","7802","1017","128021","142","1887","1","","1",2022-01-17,2022-01-17
"Punjab","41250","3704","605848","3599","16769","15","","15",2022-01-17,2022-01-17
"Rajasthan","63405","4977","965249","4686","9005","6","","6",2022-01-17,2022-01-17
"Sikkim","1989","263","32310","50","413"," ","","",2022-01-17,2022-01-17
"Tamil Nadu","142476","11469","2760458","12484","36989","22","","22",2022-01-17,2022-01-17
"Telangana","22048","31","683104","2013","4057","3","","3",2022-01-17,2022-01-17
"Tripura","5602","496","85134","143","840","2","","2",2022-01-17,2022-01-17
"Uttarakhand","17223","2331","345291","351","7440"," ","","",2022-01-17,2022-01-17
"Uttar Pradesh","103474","8326","1707675","8802","22963","10","","10",2022-01-17,2022-01-17
